Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"Oct 20, 2020",Oct,Tue,"1,332.20","1,326.00","1,342.70","1,326.00",212.95K,0.40%,,
"Oct 19, 2020",Oct,Mon,"1,326.90","1,330.00","1,335.00","1,325.30",119.60K,-0.09%,,
"Oct 16, 2020",Oct,Fri,"1,328.10","1,329.00","1,340.00","1,325.00",141.61K,-0.11%,,
"Oct 15, 2020",Oct,Thu,"1,329.50","1,340.00","1,347.70","1,326.00",234.82K,-0.64%,,
"Oct 14, 2020",Oct,Wed,"1,338.05","1,350.00","1,357.60","1,331.00",346.04K,0.12%,,
"Oct 13, 2020",Oct,Tue,"1,336.50","1,338.05","1,348.00","1,333.35",163.87K,0.14%,,
"Oct 12, 2020",Oct,Mon,"1,334.65","1,355.00","1,369.80","1,330.00",443.94K,-1.21%,,
"Oct 09, 2020",Oct,Fri,"1,351.00","1,366.50","1,366.50","1,348.50",151.21K,-0.34%,,
"Oct 08, 2020",Oct,Thu,"1,355.60","1,368.00","1,369.95","1,350.00",268.48K,-0.10%,,
"Oct 07, 2020",Oct,Wed,"1,356.90","1,370.00","1,376.50","1,349.00",393.99K,-0.51%,,
"Oct 06, 2020",Oct,Tue,"1,363.85","1,363.00","1,373.00","1,360.00",203.01K,-0.89%,,
"Oct 05, 2020",Oct,Mon,"1,376.05","1,390.00","1,391.05","1,356.25",406.75K,-0.24%,,
"Oct 01, 2020",Oct,Thu,"1,379.30","1,410.00","1,410.00","1,370.00",297.20K,-0.34%,,
"Sep 30, 2020",Sep,Wed,"1,384.00","1,383.40","1,419.50","1,368.70",637.11K,0.05%,,
"Sep 29, 2020",Sep,Tue,"1,383.35","1,370.00","1,395.00","1,364.00",437.12K,1.19%,,
"Sep 28, 2020",Sep,Mon,"1,367.05","1,360.00","1,372.50","1,355.00",236.42K,1.11%,,
"Sep 25, 2020",Sep,Fri,"1,352.05","1,360.00","1,360.00","1,340.00",222.71K,0.99%,,
"Sep 24, 2020",Sep,Thu,"1,338.85","1,352.85","1,366.00","1,332.00",399.47K,-2.48%,,
"Sep 23, 2020",Sep,Wed,"1,372.85","1,365.00","1,380.00","1,353.25",274.75K,1.27%,,
"Sep 22, 2020",Sep,Tue,"1,355.70","1,390.00","1,390.00","1,330.10",569.17K,-2.98%,,
"Sep 21, 2020",Sep,Mon,"1,397.35","1,425.00","1,430.00","1,380.00",947.38K,-0.57%,,
"Sep 18, 2020",Sep,Fri,"1,405.35","1,376.00","1,420.00","1,370.70",753.21K,2.53%,,
"Sep 17, 2020",Sep,Thu,"1,370.70","1,361.00","1,374.10","1,359.00",330.92K,0.24%,,
"Sep 16, 2020",Sep,Wed,"1,367.40","1,376.00","1,377.00","1,364.00",232.14K,-0.18%,,
"Sep 15, 2020",Sep,Tue,"1,369.80","1,375.00","1,388.00","1,361.15",298.47K,0.14%,,
"Sep 14, 2020",Sep,Mon,"1,367.85","1,360.00","1,388.00","1,350.00",861.60K,-0.20%,,
"Sep 11, 2020",Sep,Fri,"1,370.55","1,369.50","1,376.00","1,351.00",445.38K,-0.02%,,
"Sep 10, 2020",Sep,Thu,"1,370.85","1,360.00","1,383.95","1,350.15",668.79K,1.63%,,
"Sep 09, 2020",Sep,Wed,"1,348.90","1,350.00","1,358.70","1,321.15",1.90M,-2.21%,,
"Sep 08, 2020",Sep,Tue,"1,379.45","1,421.00","1,459.90","1,350.00",3.20M,-2.50%,,
"Sep 07, 2020",Sep,Mon,"1,414.85","1,390.00","1,451.65","1,366.00",3.21M,3.64%,,
"Sep 04, 2020",Sep,Fri,"1,365.20","1,348.00","1,369.00","1,348.00",318.12K,-0.26%,,
"Sep 03, 2020",Sep,Thu,"1,368.70","1,366.00","1,388.00","1,361.20",499.63K,0.66%,,
"Sep 02, 2020",Sep,Wed,"1,359.75","1,363.00","1,369.90","1,353.10",246.51K,0.61%,,
"Sep 01, 2020",Sep,Tue,"1,351.50","1,336.00","1,365.00","1,336.00",334.56K,0.54%,,
"Aug 31, 2020",Aug,Mon,"1,344.25","1,399.00","1,399.00","1,336.00",582.69K,-1.63%,,
"Aug 28, 2020",Aug,Fri,"1,366.50","1,366.00","1,379.80","1,362.55",323.81K,-0.07%,,
"Aug 27, 2020",Aug,Thu,"1,367.50","1,374.50","1,384.00","1,365.00",330.14K,-0.13%,,
"Aug 26, 2020",Aug,Wed,"1,369.30","1,345.05","1,387.20","1,342.20",1.10M,2.05%,,
"Aug 25, 2020",Aug,Tue,"1,341.75","1,348.00","1,355.65","1,340.00",364.44K,0.27%,,
"Aug 24, 2020",Aug,Mon,"1,338.10","1,342.00","1,350.00","1,335.30",349.57K,-0.28%,,
"Aug 21, 2020",Aug,Fri,"1,341.80","1,350.10","1,358.90","1,335.50",427.63K,-0.39%,,
"Aug 20, 2020",Aug,Thu,"1,347.05","1,345.00","1,357.45","1,332.25",610.63K,-1.08%,,
"Aug 19, 2020",Aug,Wed,"1,361.80","1,386.00","1,402.00","1,338.00",1.28M,-1.15%,,
"Aug 18, 2020",Aug,Tue,"1,377.65","1,380.00","1,389.90","1,375.00",342.01K,-0.43%,,
"Aug 17, 2020",Aug,Mon,"1,383.55","1,378.00","1,403.60","1,360.30",870.69K,1.09%,,
"Aug 14, 2020",Aug,Fri,"1,368.60","1,385.05","1,409.50","1,350.05",986.50K,-1.12%,,
"Aug 13, 2020",Aug,Thu,"1,384.10","1,398.00","1,411.90","1,375.10",688.94K,-0.19%,,
"Aug 12, 2020",Aug,Wed,"1,386.80","1,350.00","1,414.00","1,350.00",1.76M,1.08%,,
"Aug 11, 2020",Aug,Tue,"1,372.05","1,324.00","1,384.30","1,315.05",1.11M,3.65%,,
"Aug 10, 2020",Aug,Mon,"1,323.75","1,332.00","1,337.00","1,320.45",307.78K,-0.57%,,
"Aug 07, 2020",Aug,Fri,"1,331.35","1,335.00","1,339.00","1,330.00",270.31K,-0.24%,,
"Aug 06, 2020",Aug,Thu,"1,334.55","1,337.50","1,347.05","1,330.20",300.34K,-0.18%,,
"Aug 05, 2020",Aug,Wed,"1,336.95","1,345.00","1,347.00","1,335.00",221.23K,-0.21%,,
"Aug 04, 2020",Aug,Tue,"1,339.80","1,336.00","1,347.90","1,335.20",226.48K,0.01%,,
"Aug 03, 2020",Aug,Mon,"1,339.70","1,337.00","1,362.00","1,334.20",293.42K,0.29%,,
"Jul 31, 2020",Jul,Fri,"1,335.85","1,345.80","1,346.70","1,332.15",214.88K,-0.36%,,
"Jul 30, 2020",Jul,Thu,"1,340.70","1,351.00","1,359.95","1,340.00",261.62K,-0.89%,,
"Jul 29, 2020",Jul,Wed,"1,352.75","1,345.00","1,369.00","1,343.05",385.50K,0.54%,,
"Jul 28, 2020",Jul,Tue,"1,345.55","1,345.00","1,354.00","1,340.00",256.36K,0.05%,,
"Jul 27, 2020",Jul,Mon,"1,344.85","1,358.00","1,361.05","1,342.05",320.92K,-0.96%,,
"Jul 24, 2020",Jul,Fri,"1,357.85","1,365.10","1,372.00","1,356.00",376.20K,-1.00%,,
"Jul 23, 2020",Jul,Thu,"1,371.50","1,373.10","1,386.00","1,365.05",419.22K,-0.11%,,
"Jul 22, 2020",Jul,Wed,"1,372.95","1,395.00","1,398.70","1,370.00",458.14K,-1.24%,,
"Jul 21, 2020",Jul,Tue,"1,390.20","1,381.50","1,412.20","1,376.45",1.16M,1.00%,,
"Jul 20, 2020",Jul,Mon,"1,376.45","1,380.00","1,389.00","1,371.00",505.50K,0.40%,,
"Jul 17, 2020",Jul,Fri,"1,370.95","1,374.00","1,400.00","1,366.70",807.95K,0.49%,,
"Jul 16, 2020",Jul,Thu,"1,364.20","1,355.00","1,379.00","1,335.00",528.44K,0.91%,,
"Jul 15, 2020",Jul,Wed,"1,351.95","1,365.15","1,379.00","1,350.00",554.12K,-0.75%,,
"Jul 14, 2020",Jul,Tue,"1,362.15","1,387.00","1,387.00","1,355.55",755.57K,-2.52%,,
"Jul 13, 2020",Jul,Mon,"1,397.35","1,444.00","1,444.00","1,386.35",1.33M,-0.26%,,
"Jul 10, 2020",Jul,Fri,"1,400.95","1,375.00","1,444.00","1,360.00",1.83M,1.15%,,
"Jul 09, 2020",Jul,Thu,"1,385.05","1,396.00","1,400.00","1,381.15",353.00K,-0.36%,,
"Jul 08, 2020",Jul,Wed,"1,390.10","1,397.00","1,413.35","1,384.60",472.31K,-0.52%,,
"Jul 07, 2020",Jul,Tue,"1,397.40","1,410.00","1,411.00","1,390.05",480.21K,-0.24%,,
